InferencePattern (slutledningsmönster),Type,Valid,Language,Description,Item
1) C-r-A; 2) B-R-A; 3) B-r-C,Visuospatial,0,En,1) cat-behind-ape; 2) dog-in front of-ape; 3) dog-behind-cat?,audio/r22.wav
1) C-r-B; 2) A-R-B; 3) A-r-C,Visuospatial,0,En,1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?,audio/r19.wav
1) A-r-B; 2) A-R-C; 3) C-r-B,Visuospatial,1,En,1) ape-below-dog; 2) ape-above-cat; 3) cat-below-dog?,audio/r17.wav
1) A-r-B; 2) C-R-B; 3) A-r-C,Visuospatial,1,En,1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?,audio/r23.wav
1) B-r-A; 2) B-R-C; 3) C-r-A,Visuospatial,1,En,1) dog-behind-ape; 2) dog-in front of-cat; 3) cat-behind-ape?,audio/r24.wav
1) B-r-A; 2) C-R-A; 3) B-r-C,Visuospatial,1,En,1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?,audio/r18.wav
1) A-r-C; 2) A-R-B; 3) C-r-B,Visuospatial,0,Sw,1) ape-behind-cat; 2) ape-in front of-dog; 3) cat-behind-dog?,audio/n4.wav
1) B-r-C; 2) B-R-A; 3) C-r-A,Visuospatial,0,Sw,1) dog-below-cat; 2) dog-above-ape; 3) cat-below-ape?,audio/n24.wav
1) C-r-A; 2) B-R-A; 3) B-r-C,Visuospatial,0,Sw,1) cat-behind-ape; 2) dog-in front of-ape; 3) dog-behind-cat?,audio/n1.wav
1) C-r-B; 2) A-R-B; 3) A-r-C,Visuospatial,0,Sw,1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?,audio/n23.wav
1) A-r-B; 2) A-R-C; 3) C-r-B,Visuospatial,1,Sw,1) ape-below-dog; 2) ape-above-cat; 3) cat-below-dog?,audio/n21.wav
1) A-r-B; 2) C-R-B; 3) A-r-C,Visuospatial,1,Sw,1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?,audio/n2.wav
1) B-r-A; 2) B-R-C; 3) C-r-A,Visuospatial,1,Sw,1) dog-behind-ape; 2) dog-in front of-cat; 3) cat-behind-ape?,audio/n3.wav
1) B-r-A; 2) C-R-A; 3) B-r-C,Visuospatial,1,Sw,1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?,audio/n22.wav
